id;first_name;last_name;email;role;phone;timezone;active;;;;;;;;;;;;;;;;
1;Marcos;Oliveira;marcos.oliveira@olv.com.br;gerente;+55 11 9999-1111;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
2;Maria;Souza;maria.souza@olv.com.br;pre_vendedor;+55 11 9888-2222;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
3;João;Lima;joao.lima@olv.com.br;vendedor;+55 11 9777-3333;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
4;Ana;Silva;ana.silva@olv.com.br;coordenadora;+55 11 9666-4444;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
5;Rafael;Santos;rafael.santos@olv.com.br;assistente;+55 11 9444-5555;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
6;Carla;Freitas;carla.freitas@olv.com.br;analista_crm;+55 11 9333-6666;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
7;Fernando;Costa;fernando.costa@olv.com.br;vendedor;+55 11 9888-7777;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
8;Paulo;Rezende;paulo.rezende@olv.com.br;pre_vendedor;+55 11 9777-8888;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
9;Lucia;Machado;lucia.machado@olv.com.br;coordenadora;+55 11 9666-9999;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
10;Roberto;Carvalho;roberto.carvalho@olv.com.br;gerente;+55 11 9555-0000;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
11;Sofia;Almeida;sofia.almeida@olv.com.br;assistente;+55 11 9444-1212;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
12;Gabriel;Ferreira;gabriel.ferreira@olv.com.br;analista_crm;+55 11 9333-3434;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
13;Alice;Torres;alice.torres@olv.com.br;pre_vendedor;+55 11 9666-5656;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
14;Henrique;Barbosa;henrique.barbosa@olv.com.br;vendedor;+55 11 9555-7878;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
15;Debora;Moreira;debora.moreira@olv.com.br;coordenadora;+55 11 9888-9090;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
16;Diego;Ramos;diego.ramos@olv.com.br;gerente;+55 11 9666-1111;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
17;Larissa;Dias;larissa.dias@olv.com.br;assistente;+55 11 9333-2323;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
18;Vinicius;Mendes;vinicius.mendes@olv.com.br;analista_crm;+55 11 9555-4545;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
19;Fabiana;Campos;fabiana.campos@olv.com.br;pre_vendedor;+55 11 9888-6767;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
20;Ricardo;Araújo;ricardo.araujo@olv.com.br;vendedor;+55 11 9666-8989;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
